layer_type,algorithm,level,compression_ratio,compression_time,decompression_time
text,gzip,1,0.19321942329406738,0.11328768730163574,0.03852057456970215
text,gzip,6,0.13721747398376466,0.6786322593688965,0.027933359146118164
text,lz4,1,0.3158158779144287,0.01585102081298828,0.01109170913696289
text,lz4,6,0.18146710395812987,0.4830930233001709,0.0075719356536865234
text,zstd,1,0.0009577751159667968,0.0019991397857666016,0.004077911376953125
text,zstd,6,0.0008755683898925781,0.0047266483306884766,0.004581928253173828
binary,gzip,1,1.0003050804138183,0.3897097110748291,0.015354156494140625
binary,gzip,6,1.0003060340881347,0.3988676071166992,0.015241384506225586
binary,lz4,1,1.0000619411468505,0.008647918701171875,0.006000518798828125
binary,lz4,6,1.0000619411468505,0.3585793972015381,0.006123065948486328
binary,zstd,1,1.000023365020752,0.004858493804931641,0.002523183822631836
binary,zstd,6,1.000023365020752,0.007520437240600586,0.0030069351196289062
mixed,gzip,1,0.5958583354949951,0.25436925888061523,0.0277407169342041
mixed,gzip,6,0.5677129745483398,0.5343244075775146,0.0217440128326416
mixed,lz4,1,0.6561599731445312,0.012601852416992188,0.008560895919799805
mixed,lz4,6,0.589415168762207,0.4148859977722168,0.0074918270111083984
mixed,zstd,1,0.5009229183197021,0.004235029220581055,0.004056215286254883
mixed,zstd,6,0.5008340358734131,0.008137226104736328,0.0035352706909179688
