image_name,total_size_mb,layer_count,avg_layer_entropy,entropy_std,size_std_mb,L1_size_mb,L1_entropy,L1_type,L2_size_mb,L2_entropy,L2_type,L3_size_mb,L3_entropy,L3_type
quay.io/centos/centos:stream9,164.32,1,0.7725,0.0,0.0,164.32,0.7725,0,0.0,0.0,0,0.0,0.0,0
fedora:latest,177.59,1,0.778,0.0,0.0,177.59,0.778,0,0.0,0.0,0,0.0,0.0,0
ubuntu:latest,76.88,1,0.6707,0.0,0.0,76.88,0.6707,0,0.0,0.0,0,0.0,0.0,0
mongo:latest,877.22,8,0.5312,0.278,259.67,793.53,0.7845,0,76.9,0.6709,0,4.37,0.782,0
mysql:latest,909.34,10,0.5398,0.2281,189.32,638.76,0.7275,0,143.66,0.5647,0,110.59,0.7665,0
postgres:latest,441.71,13,0.5491,0.2795,84.32,317.15,0.7715,0,77.29,0.7031,0,24.97,0.8002,0
rust:latest,1586.69,5,0.7618,0.0313,246.0,636.64,0.78,0,592.09,0.7947,0,181.18,0.7674,0
ruby:latest,1084.17,7,0.5897,0.3217,205.51,636.64,0.78,0,181.18,0.7674,0,118.09,0.703,0
python:latest,1087.31,7,0.6645,0.2186,204.45,636.64,0.78,0,181.18,0.7674,0,118.09,0.703,0
nginx:latest,148.31,7,0.5194,0.1699,33.54,77.29,0.7031,0,71.01,0.7919,0,0.01,0.5244,0
httpd:latest,114.62,6,0.4156,0.3428,28.33,77.29,0.7031,0,31.58,0.7652,0,5.74,0.7964,0
rabbitmq:latest,232.49,9,0.4862,0.2875,33.16,87.13,0.673,0,76.9,0.6709,0,39.7,0.9722,0
wordpress:latest,714.72,24,0.4115,0.2867,70.12,336.63,0.7826,0,84.1,0.7565,0,77.29,0.7031,0
nextcloud:latest,1420.38,23,0.4071,0.2823,168.35,777.39,0.6675,0,336.63,0.7826,0,101.58,0.73,0
gradle:latest,719.04,10,0.5546,0.3226,88.88,250.34,0.8752,0,196.31,0.8012,0,145.07,0.9864,0
node:latest,1102.93,8,0.6418,0.1963,178.52,569.68,0.7573,0,191.66,0.8267,0,173.49,0.7626,0
